VALUE,Freq,BPS_CODE,ZONE,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,PRC_REPLAC,PRC_MIXED,PRC_SURFAC,FRG_NEW,R,G,B,RED,GREEN,BLUE,ACRES,REL_PERCEN
1614,23476895.000000000000000,13022,51,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,2040,-9999,-9999,2040,100,-9999,-9999,V-B,76,230,0,0.298039000000000,0.901961000000000,0.000000000000000,5221136.000000000000000,8.300000000000001
1561,21703713.000000000000000,13022,50,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,2040,-9999,-9999,2040,100,-9999,-9999,V-B,76,230,0,0.298039000000000,0.901961000000000,0.000000000000000,4826790.000000000000000,7.700000000000000
1608,19222645.000000000000000,14770,41,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,716,-9999,123,105,15,-9999,85,III-B,106,0,138,0.415686000000000,0.000000000000000,0.541176000000000,4275013.000000000000000,6.800000000000001
1639,16158678.000000000000000,14810,51,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,989,-9999,-9999,989,100,-9999,-9999,V-B,232,189,255,0.909804000000000,0.741176000000000,1.000000000000000,3593603.000000000000000,5.700000000000000
1588,15141501.000000000000000,13022,41,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,2040,-9999,-9999,2040,100,-9999,-9999,V-B,76,230,0,0.298039000000000,0.901961000000000,0.000000000000000,3367389.000000000000000,5.400000000000000
11,14848171.000000000000000,11,0,0,Open Water,Open Water,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,255,0.000000000000000,0.000000000000000,1.000000000000000,3302154.000000000000000,5.300000000000000
1562,14390928.000000000000000,13022,50,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,2040,-9999,-9999,2040,100,-9999,-9999,V-B,76,230,150,0.298039000000000,0.901961000000000,0.588235000000000,3200465.000000000000000,5.100000000000000
1598,14313095.000000000000000,13653,41,13653_41,Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch,Conifer,112,243,-9999,76,68,32,-9999,III-A,255,255,145,1.000000000000000,1.000000000000000,0.568627000000000,3183156.000000000000000,5.100000000000000
1596,12904172.000000000000000,13651,41,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,250,1468,-9999,213,85,15,-9999,V-A,147,194,114,0.576471000000000,0.760784000000000,0.447059000000000,2869819.000000000000000,4.600000000000000
1622,11128388.000000000000000,13620,51,13620_51_63_64_65_66,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,309,447,65,48,16,11,73,III-A,255,191,191,1.000000000000000,0.749020000000000,0.749020000000000,2474894.000000000000000,3.900000000000000
1615,10080895.000000000000000,13022,51,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,2040,-9999,-9999,2040,100,-9999,-9999,V-B,76,230,150,0.298039000000000,0.901961000000000,0.588235000000000,2241937.000000000000000,3.600000000000000
1602,9476335.000000000000000,14072,41,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,25,46,18,8,34,18,48,I-B,153,66,100,0.600000000000000,0.258824000000000,0.392157000000000,2107486.000000000000000,3.400000000000000
2724,9728213.000000000000000,13622,41,13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,Hardwood-Conifer,230,-9999,40,34,15,-9999,85,I-C,255,167,127,1.000000000000000,0.654902000000000,0.498039000000000,2163502.000000000000000,3.400000000000000
2726,8528868.000000000000000,13622,50,13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,Hardwood-Conifer,230,-9999,40,34,15,-9999,85,I-C,255,167,127,1.000000000000000,0.654902000000000,0.498039000000000,1896775.000000000000000,3.000000000000000
1581,7702336.000000000000000,14770,50,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,716,-9999,123,105,15,-9999,85,III-B,106,0,138,0.415686000000000,0.000000000000000,0.541176000000000,1712958.000000000000000,2.700000000000000
1637,6245192.000000000000000,14770,51,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,716,-9999,123,105,15,-9999,85,III-B,106,0,138,0.415686000000000,0.000000000000000,0.541176000000000,1388897.000000000000000,2.200000000000000
1623,5429431.000000000000000,13651,51,13651_51,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,490,524,-9999,253,52,48,-9999,V-A,147,194,114,0.576471000000000,0.760784000000000,0.447059000000000,1207476.000000000000000,1.900000000000000
1583,4749187.000000000000000,14810,50,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,989,-9999,-9999,989,100,-9999,-9999,V-B,232,189,255,0.909804000000000,0.741176000000000,1.000000000000000,1056194.000000000000000,1.700000000000000
1610,4922287.000000000000000,14810,41,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,989,-9999,-9999,989,100,-9999,-9999,V-B,232,189,255,0.909804000000000,0.741176000000000,1.000000000000000,1094690.000000000000000,1.700000000000000
1625,4906393.000000000000000,13660,51,13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,482,998,289,153,32,15,53,III-B,208,255,99,0.815686000000000,1.000000000000000,0.388235000000000,1091156.000000000000000,1.700000000000000
1628,4488625.000000000000000,14071,51,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,109,75,5,4,4,6,90,I-A,153,66,0,0.600000000000000,0.258824000000000,0.000000000000000,998246.000000000000000,1.600000000000000
1613,3533834.000000000000000,14940,41,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,18,-9999,-9999,18,100,-9999,-9999,II-C,0,168,107,0.000000000000000,0.658824000000000,0.419608000000000,785906.000000000000000,1.300000000000000
1593,3454813.000000000000000,13440,41,13440_41,Boreal Jack Pine-Black Spruce Forest,Conifer,82,-9999,-9999,82,100,-9999,-9999,IV-A,255,140,140,1.000000000000000,0.549020000000000,0.549020000000000,768332.000000000000000,1.200000000000000
1624,3289105.000000000000000,13652,51,13652_51,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,872,1306,-9999,523,60,40,-9999,V-B,110,137,70,0.431373000000000,0.537255000000000,0.274510000000000,731479.000000000000000,1.200000000000000
1605,3170286.000000000000000,14440,41,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,-9999,581,312,203,-9999,35,65,V-A,69,69,156,0.270588000000000,0.270588000000000,0.611765000000000,705055.000000000000000,1.100000000000000
1620,2941932.000000000000000,13441,51,13441_51,Boreal Jack Pine-Black Spruce Forest-Pine Barrens,Conifer,34,64,7,5,15,8,77,I-A,255,140,140,1.000000000000000,0.549020000000000,0.549020000000000,654270.000000000000000,1.000000000000000
1569,2410055.000000000000000,13660,50,13660_50,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,483,1018,291,154,32,15,53,III-B,208,255,99,0.815686000000000,1.000000000000000,0.388235000000000,535983.000000000000000,0.900000000000000
1590,2525064.000000000000000,13100,41,13100_41_62,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,74,56,23,13,18,24,58,I-B,176,163,222,0.690196000000000,0.639216000000000,0.870588000000000,561561.000000000000000,0.900000000000000
1597,2478365.000000000000000,13652,41,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,939,1147,-9999,516,55,45,-9999,V-B,110,137,70,0.431373000000000,0.537255000000000,0.274510000000000,551175.000000000000000,0.900000000000000
1591,2215109.000000000000000,13140,41,13140_38_39_40_41_42_43_44_50,North-Central Interior Maple-Basswood Forest,Hardwood,1027,-9999,857,467,46,-9999,54,V-A,237,161,102,0.929412000000000,0.631373000000000,0.400000000000000,492628.000000000000000,0.800000000000000
1607,1954276.000000000000000,14750,41,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,-9999,435,68,59,-9999,14,86,III-A,122,143,245,0.478431000000000,0.560784000000000,0.960784000000000,434621.000000000000000,0.700000000000000
1589,1712019.000000000000000,13022,41,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,2040,-9999,-9999,2040,100,-9999,-9999,V-B,76,230,150,0.298039000000000,0.901961000000000,0.588235000000000,380744.000000000000000,0.600000000000000
1568,1045355.000000000000000,13651,50,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,250,1468,-9999,213,85,15,-9999,V-A,147,194,114,0.576471000000000,0.760784000000000,0.447059000000000,232481.000000000000000,0.400000000000000
1570,1082879.000000000000000,13940,50,13940_50_51,North-Central Interior Oak Savanna,Hardwood,66,184,5,5,7,3,90,I-A,230,213,138,0.901961000000000,0.835294000000000,0.541176000000000,240826.000000000000000,0.400000000000000
1573,1012755.000000000000000,14072,50,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,25,46,18,8,34,18,48,I-B,153,66,100,0.600000000000000,0.258824000000000,0.392157000000000,225231.000000000000000,0.400000000000000
